"Category","City","Country","Customer_ID","Customer_Name","Discount","Market","Record_Count","Order_Date","Order_ID","Order_Priority","Product_ID","Product_Name","Profit","Quantity","Region","Row_ID","Sales","Segment","Ship_Date","Ship_Mode","Shipping_Cost","State","Sub_Category","Year","Market2","weeknum","Profit_Margin","Discount_Band"
"Office Supplies","Los Angeles","United States","LS-172304","Lycoris Saunders",0,"US",1,2011-01-07,"CA-2011-130813","High","OFF-PA-10002005","Xerox 225",9.3312,3,"West",36624,19,"Consumer",2011-01-09,"Second Class",4.37,"California","Paper",2011,"North America",2,0.491115789473684,"No discount"
"Office Supplies","Los Angeles","United States","MV-174854","Mark Van Huff",0,"US",1,2011-01-21,"CA-2011-148614","Medium","OFF-PA-10002893","Wirebound Service Call Books, 5 1/2"" x 4""",9.2928,2,"West",37033,19,"Consumer",2011-01-26,"Standard Class",0.94,"California","Paper",2011,"North America",4,0.489094736842105,"No discount"
"Office Supplies","Los Angeles","United States","CS-121304","Chad Sievert",0,"US",1,2011-08-05,"CA-2011-118962","Medium","OFF-PA-10000659","Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",9.8418,3,"West",31468,21,"Consumer",2011-08-09,"Standard Class",1.81,"California","Paper",2011,"North America",32,0.468657142857143,"No discount"
"Office Supplies","Los Angeles","United States","CS-121304","Chad Sievert",0,"US",1,2011-08-05,"CA-2011-118962","Medium","OFF-PA-10001144","Xerox 1913",53.2608,2,"West",31469,111,"Consumer",2011-08-09,"Standard Class",4.59,"California","Paper",2011,"North America",32,0.479827027027027,"No discount"
"Office Supplies","Los Angeles","United States","AP-109154","Arthur Prichep",0,"US",1,2011-09-29,"CA-2011-146969","High","OFF-PA-10002105","Xerox 223",3.1104,1,"West",32440,6,"Consumer",2011-10-03,"Standard Class",1.32,"California","Paper",2011,"North America",40,0.5184,"No discount"
"Office Supplies","Los Angeles","United States","JF-154904","Jeremy Farry",0,"US",1,2011-10-19,"CA-2011-117317","Critical","OFF-PA-10004519","Spiral Phone Message Books with Labels by Adams",6.5856,3,"West",32890,13,"Consumer",2011-10-19,"Same Day",2.39,"California","Paper",2011,"North America",43,0.506584615384615,"No discount"
"Office Supplies","Los Angeles","United States","WB-218504","William Brown",0,"US",1,2011-11-04,"CA-2011-125829","Medium","OFF-PA-10000223","Xerox 2000",9.3312,3,"West",35608,19,"Consumer",2011-11-11,"Standard Class",1.15,"California","Paper",2011,"North America",45,0.491115789473684,"No discount"
"Office Supplies","Los Angeles","United States","JA-159704","Joseph Airdo",0,"US",1,2011-11-12,"CA-2011-151295","High","OFF-PA-10001947","Xerox 1974",5.8604,2,"West",33709,12,"Consumer",2011-11-16,"Standard Class",0.92,"California","Paper",2011,"North America",46,0.488366666666667,"No discount"
"Office Supplies","Los Angeles","United States","SP-209204","Susan Pistek",0,"US",1,2011-11-22,"CA-2011-135090","High","OFF-PA-10002245","Xerox 1895",24.219,9,"West",35267,54,"Consumer",2011-11-26,"Standard Class",6.98,"California","Paper",2011,"North America",48,0.4485,"No discount"
"Office Supplies","Los Angeles","United States","RL-196154","Rob Lucas",0,"US",1,2011-12-05,"CA-2011-133830","Medium","OFF-PA-10001363","Xerox 1933",23.0864,4,"West",38866,49,"Consumer",2011-12-10,"Standard Class",1.99,"California","Paper",2011,"North America",50,0.471151020408163,"No discount"
